id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,scientificName,taxonRank,kingdom,family,higherClassification,vernacularName,previousIdentifications,individualCount,lifeStage,sex,longitudeDecimal,latitudeDecimal,geodeticDatum,dataGeneralizations,coordinateUncertaintyInMeters,continent,country,countryCode,stateProvince,locality,habitat,recordedBy,eventID,eventDate,eventTime,samplingProtocol,behavior,associatedTaxa,references,rightsHolder,license,modified
87289995@OBS,https://observation.org/observation/87289995,OBS.87289995,HumanObservation,Observations,Lycaena tityrus,species,Animalia,GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Animalia|GOSSAMERWINGED_BUTTERFLIES_LYCAENIDAE,Sooty Copper,,1,unknown,undetermined,22.6,53.45,WGS84,,5000,Europe,Poland,PL,,Poland - Biebrza NP,,,,2014-08-04,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.87289995,Stichting Natuurinformatie,CC BY-NC 4.0,2014-09-11
172446588@OBS,https://observation.org/observation/172446588,OBS.172446588,HumanObservation,Observations,Symphytum officinale,species,Plantae,BORAGINACEAE,Plantae|BORAGINACEAE,Common Comfrey,,1,flowering,undetermined,23.8412475585938,52.7014389038086,WGS84,,25,Europe,Poland,PL,,Poland - Białowieża,,,,2019-05-16,42780,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.172446588,Stichting Natuurinformatie,CC BY-NC 4.0,2019-05-16
76336298@OBS,https://observation.org/observation/76336298,OBS.76336298,HumanObservation,Observations,Grus grus,species,Animalia,CRANES_GRUIDAE,Animalia|CRANES_GRUIDAE,Common Crane,,65,unknown,undetermined,17.000427239109,51.519503660304,WGS84,,100,Europe,Poland,PL,,Poland -  Dolnośląskie,,,,1995-05-26,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.76336298,Stichting Natuurinformatie,CC BY-NC 4.0,2014-01-18
86381032@OBS,https://observation.org/observation/86381032,OBS.86381032,HumanObservation,Observations,Chlidonias niger,species,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Animalia|GULLS_TERNS_AND_SKIMMERS_LARIDAE,Black Tern,,50,unknown,undetermined,23.87099463,52.90433998,WGS84,,25,Europe,Poland,PL,,Poland - Zbionrnik Siemianowka,,,,2014-07-16,42120,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.86381032,Stichting Natuurinformatie,CC BY-NC 4.0,2017-08-11
119768050@OBS,https://observation.org/observation/119768050,OBS.119768050,HumanObservation,Observations,Serinus serinus,species,Animalia,FINCHES_FRINGILLIDAE,Animalia|FINCHES_FRINGILLIDAE,European Serin,,10,unknown,undetermined,23.8395974,52.90019247,WGS84,,25,Europe,Poland,PL,,Poland - Podlaskie,,,,2016-06-07,48420,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.119768050,Stichting Natuurinformatie,CC BY-NC 4.0,2019-07-05
126797715@OBS,https://observation.org/observation/126797715,OBS.126797715,HumanObservation,Observations,Motacilla citreola,species,Animalia,PIPITS_EN_WAGTAILS_MOTACILLIDAE,Animalia|PIPITS_EN_WAGTAILS_MOTACILLIDAE,Citrine Wagtail,,3,unknown,undetermined,22.74102934,53.49307111,WGS84,,25,Europe,Poland,PL,,Poland - Biebrza NP,,,,2015-05-17,32940,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.126797715,Stichting Natuurinformatie,CC BY-NC 4.0,2016-11-23
86439190@OBS,https://observation.org/observation/86439190,OBS.86439190,HumanObservation,Observations,Passer domesticus,species,Animalia,OLD_WORLD_SPARROWS_PASSERIDAE,Animalia|OLD_WORLD_SPARROWS_PASSERIDAE,House Sparrow,,40,unknown,undetermined,23.87346083,52.70020986,WGS84,,25,Europe,Poland,PL,,Poland - Białowieża,,,,2014-07-18,15180,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.86439190,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-18
122028720@OBS,https://observation.org/observation/122028720,OBS.122028720,HumanObservation,Observations,Ciconia ciconia,species,Animalia,STORKS_CICONIIDAE,Animalia|STORKS_CICONIIDAE,White Stork,,6,unknown,undetermined,21.68094705,53.97783011,WGS84,,25,Europe,Poland,PL,,Poland - Warmińsko-Mazurski,,,,2016-07-14,44760,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.122028720,Stichting Natuurinformatie,CC BY-NC 4.0,2018-08-28
121924635@OBS,https://observation.org/observation/121924635,OBS.121924635,HumanObservation,Observations,Ciconia ciconia,species,Animalia,STORKS_CICONIIDAE,Animalia|STORKS_CICONIIDAE,White Stork,,1,unknown,undetermined,14.795757014157,52.5573413537263,WGS84,,25,Europe,Poland,PL,,Poland - Lubuskie,,,,2016-07-29,57480,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.121924635,Stichting Natuurinformatie,CC BY-NC 4.0,2016-07-29
119613112@OBS,https://observation.org/observation/119613112,OBS.119613112,HumanObservation,Observations,Aeshna isoceles,species,Animalia,DARNERS_AESHNIDAE,Animalia|DARNERS_AESHNIDAE,Green-eyed Hawker,,1,unknown,undetermined,22.64656185,53.48159673,WGS84,,25,Europe,Poland,PL,,Poland - Biebrza NP,,,,2016-06-03,37980,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.119613112,Stichting Natuurinformatie,CC BY-NC 4.0,2018-08-28
169830737@OBS,https://observation.org/observation/169830737,OBS.169830737,HumanObservation,Observations,Dendrocopos major,species,Animalia,WOODPECKERS_PICIDAE,Animalia|WOODPECKERS_PICIDAE,Great Spotted Woodpecker,,1,unknown,undetermined,23.848496,52.698797,WGS84,,100,Europe,Poland,PL,,Poland - Białowieża,,,,2015-05-14,,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.169830737,Stichting Natuurinformatie,CC BY-NC 4.0,2019-07-04
138290955@OBS,https://observation.org/observation/138290955,OBS.138290955,HumanObservation,Observations,Circus cyaneus,species,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Animalia|HAWKS_AND_EAGLES_ACCIPITRIDAE,Hen Harrier,,1,unknown,female,14.7109,52.5159,WGS84,,50,Europe,Poland,PL,,Poland - Lubuskie,,,,2017-05-12,39300,,,,https://data.biodiversitydata.nl/obsint/observation/OBS.138290955,Stichting Natuurinformatie,CC BY-NC 4.0,2017-05-12
